zpid,state,cityId,city,countyId,county,zipcode,longitude,latitude,yearBuilt,livingArea,heating,hasHeating,cooling,hasCooling
338024697,TX,10585,Brownwood,409,Brown County,76801,-99.0443,31.712374,2021,1456,"['Central', 'Electric']",True,"['Central Air', 'Electric']",True
338034295,TX,8653,Farmers Branch,978,Dallas County,75234,-96.912056,32.919544,2020,2837,"['Central', 'Natural Gas']",True,"['Central Air', 'Electric']",True
338034330,TX,38128,Dallas,978,Dallas County,75233,-96.883026,32.6996,2020,1553,"['Central', 'Electric']",True,"['Central Air', 'Ceiling Fan(s)', 'Electric']",True
338034333,TX,38128,Dallas,978,Dallas County,75233,-96.88426,32.699932,2020,1526,"['Central', 'Electric']",True,"['Central Air', 'Ceiling Fan(s)', 'Electric']",True
338034397,TX,38128,Dallas,978,Dallas County,75203,-96.82217,32.750862,2022,1861,"['Central', 'Natural Gas']",True,"['Central Air', 'Electric']",True
338034489,TX,38128,Dallas,978,Dallas County,75252,-96.76363,32.984844,2021,2867,"['Central', 'Natural Gas', 'Zoned']",True,"['Central Air', 'Ceiling Fan(s)', 'Electric', 'Zoned']",True
338034526,TX,38128,Dallas,978,Dallas County,75233,-96.88484,32.699753,2020,1436,"['Central', 'Electric']",True,"['Central Air', 'Ceiling Fan(s)', 'Electric']",True
338034604,TX,38128,Dallas,978,Dallas County,75253,-96.592186,32.6918,2020,1786,"['Central', 'Electric']",True,"['Central Air', 'Electric']",True
338034707,TX,44918,Desoto,978,Dallas County,75115,-96.85025,32.56605,2020,1958,"['Central', 'Electric']",True,"['Central Air', 'Electric']",True
338034879,TX,18251,Garland,978,Dallas County,75043,-96.58669,32.846786,2022,2799,"['Central', 'Natural Gas']",True,"['Central Air', 'Ceiling Fan(s)', 'Electric']",True
338034914,TX,18251,Garland,978,Dallas County,75043,-96.586006,32.848583,2021,1761,"['Central', 'Natural Gas']",True,"['Central Air', 'Ceiling Fan(s)', 'Electric']",True
338034982,TX,18251,Garland,978,Dallas County,75043,-96.593124,32.869587,2020,3358,"['Central', 'Natural Gas', 'Zoned']",True,"['Central Air', 'Ceiling Fan(s)', 'Electric', 'ENERGY STAR Qualified Equipment', 'Zoned']",True
338035096,TX,8653,Farmers Branch,978,Dallas County,75234,-96.92153,32.910698,2020,3778,['Natural Gas'],True,"['Central Air', 'Electric']",True
338035224,TX,12065,Irving,978,Dallas County,75063,-96.94668,32.939747,2021,2450,"['Central', 'Natural Gas']",True,"['Central Air', 'Ceiling Fan(s)', 'Electric']",True
338035272,TX,12694,Mesquite,978,Dallas County,75150,-96.63193,32.801964,2021,1752,"['Central', 'Electric']",True,"['Central Air', 'Electric']",True
338035280,TX,12694,Mesquite,978,Dallas County,75150,-96.63265,32.801994,2021,1747,"['Central', 'Electric']",True,"['Central Air', 'Ceiling Fan(s)', 'Electric']",True
338035375,TX,12694,Mesquite,978,Dallas County,75181,-96.54904,32.723198,2020,3269,"['Central', 'Electric']",True,"['Central Air', 'Ceiling Fan(s)', 'Electric']",True
338035614,TX,33758,Rowlett,978,Dallas County,75089,-96.56471,32.928715,2020,2461,['Central'],True,"['Central Air', 'Ceiling Fan(s)']",True
338035762,TX,29393,Seagoville,978,Dallas County,75159,-96.55715,32.66071,2020,2006,"['Central', 'Electric']",True,"['Central Air', 'Electric']",True
338035782,TX,29393,Seagoville,978,Dallas County,75159,-96.55565,32.660034,2020,2006,"['Central', 'Electric']",True,"['Central Air', 'Electric']",True
338035811,TX,29393,Seagoville,978,Dallas County,75159,-96.55492,32.660492,2020,1707,"['Central', 'Electric']",True,"['Central Air', 'Electric']",True
338036507,TX,38128,Dallas,978,Dallas County,75219,-96.824,32.807793,2020,2578,"['Central', 'Natural Gas']",True,"['Central Air', 'Electric']",True
338038844,TX,38128,Dallas,978,Dallas County,75230,-96.77124,32.885536,1970,1033,"['Central', 'Electric']",True,"['Central Air', 'Electric']",True
338039839,TX,38128,Dallas,978,Dallas County,75226,-96.764435,32.79411,2022,2140,['Central'],True,['Central Air'],True
338040721,TX,38128,Dallas,978,Dallas County,75204,-96.78339,32.80876,2021,2464,"['Central', 'Natural Gas']",True,"['Central Air', 'Ceiling Fan(s)', 'Electric']",True
338040801,TX,38128,Dallas,978,Dallas County,75219,-96.80854,32.81743,2021,2182,"['Central', 'Electric']",True,"['Central Air', 'Ceiling Fan(s)', 'Electric']",True
338040892,TX,38128,Dallas,978,Dallas County,75204,-96.78248,32.803497,2020,1950,"['Central', 'Electric']",True,"['Central Air', 'Electric']",True
338041060,TX,38128,Dallas,978,Dallas County,75206,-96.76917,32.808243,2020,1500,"['Central', 'Natural Gas']",True,"['Attic Fan', 'Central Air', 'Ceiling Fan(s)', 'Electric']",True
338043414,TX,31821,Grand Prairie,978,Dallas County,75050,-96.955666,32.756237,2022,1962,['Central'],True,"['Central Air', 'Ceiling Fan(s)', 'Electric']",True
338044554,TX,12065,Irving,978,Dallas County,75062,-96.94563,32.864616,2021,1909,"['Central', 'Natural Gas']",True,"['Central Air', 'Electric']",True
338048637,TX,39051,Houston,1090,Harris County,77055,-95.465996,29.802374,2021,3042,['Other'],True,['Central'],True
338049255,TX,39071,Humble,1090,Harris County,77346,-95.202545,29.952843,2019,1708,['Other'],True,['Central'],True
